scenario,kind,param,factor,run,ranking,top1_kept,top3_set_kept,top3_order_kept,mean_abs_rank_change,max_abs_rank_change,kendall_tau,spearman,per_insurer_change
priority_injury,monte_carlo,all,0.0,156,SHINHAN|KAKAOPAY|HYUNDAI|KB|DB|MERITZ|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 1, ""DB"": -1, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,157,SHINHAN|KAKAOPAY|HYUNDAI|KB|DB|MERITZ|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 1, ""DB"": -1, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,158,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,159,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,160,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,161,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,162,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,163,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,164,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,165,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,166,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,167,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,168,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,169,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,170,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,171,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,172,SHINHAN|KAKAOPAY|HYUNDAI|KB|DB|MERITZ|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 1, ""DB"": -1, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,173,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,174,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,175,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,176,SHINHAN|KAKAOPAY|HYUNDAI|KB|DB|MERITZ|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 1, ""DB"": -1, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,177,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,178,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,179,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
